draw_id,play,tier,pattern,numbers,note,winners,value
00821,,Giải Độc Đắc,OOOOO|O,,,0,6137967500
00821,,Giải Nhất,OOOOO,,,0,10000000
00821,,Giải Nhì,OOOO|O,,,1,5000000
00821,,Giải Ba,OOOO,,,84,500000
00821,,Giải Tư,OOO|O,,,137,100000
00821,,Giải Năm,OOO,,,1866,30000
00821,,Giải Khuyến Khích,OO|O/O|O/O,,,9742,10000
00820,,Giải Độc Đắc,OOOOO|O,,,1,11331397000
00820,,Giải Nhất,OOOOO,,,1,10000000
00820,,Giải Nhì,OOOO|O,,,14,5000000
00820,,Giải Ba,OOOO,,,153,500000
00820,,Giải Tư,OOO|O,,,467,100000
00820,,Giải Năm,OOO,,,4876,30000
00820,,Giải Khuyến Khích,OO|O/O|O/O,,,26327,10000
00819,,Giải Độc Đắc,OOOOO|O,,,0,10010842000
00819,,Giải Nhất,OOOOO,,,1,10000000
00819,,Giải Nhì,OOOO|O,,,9,5000000
00819,,Giải Ba,OOOO,,,135,500000
00819,,Giải Tư,OOO|O,,,248,100000
00819,,Giải Năm,OOO,,,3020,30000
00819,,Giải Khuyến Khích,OO|O/O|O/O,,,16534,10000
00818,,Giải Độc Đắc,OOOOO|O,,,0,9237137000
00818,,Giải Nhất,OOOOO,,,0,10000000
00818,,Giải Nhì,OOOO|O,,,13,5000000
00818,,Giải Ba,OOOO,,,92,500000
00818,,Giải Tư,OOO|O,,,336,100000
00818,,Giải Năm,OOO,,,3366,30000
00818,,Giải Khuyến Khích,OO|O/O|O/O,,,22729,10000
00817,,Giải Độc Đắc,OOOOO|O,,,0,8246424000
00817,,Giải Nhất,OOOOO,,,0,10000000
00817,,Giải Nhì,OOOO|O,,,7,5000000
00817,,Giải Ba,OOOO,,,64,500000
00817,,Giải Tư,OOO|O,,,219,100000
00817,,Giải Năm,OOO,,,2062,30000
00817,,Giải Khuyến Khích,OO|O/O|O/O,,,17668,10000
00816,,Giải Độc Đắc,OOOOO|O,,,0,7647502500
00816,,Giải Nhất,OOOOO,,,1,10000000
00816,,Giải Nhì,OOOO|O,,,8,5000000
00816,,Giải Ba,OOOO,,,103,500000
00816,,Giải Tư,OOO|O,,,234,100000
00816,,Giải Năm,OOO,,,3478,30000
00816,,Giải Khuyến Khích,OO|O/O|O/O,,,18399,10000
00815,,Giải Độc Đắc,OOOOO|O,,,0,7369132500
00815,,Giải Nhất,OOOOO,,,0,10000000
00815,,Giải Nhì,OOOO|O,,,3,5000000
00815,,Giải Ba,OOOO,,,60,500000
00815,,Giải Tư,OOO|O,,,158,100000
00815,,Giải Năm,OOO,,,1902,30000
00815,,Giải Khuyến Khích,OO|O/O|O/O,,,14724,10000
00814,,Giải Độc Đắc,OOOOO|O,,,0,7195025000
00814,,Giải Nhất,OOOOO,,,1,10000000
00814,,Giải Nhì,OOOO|O,,,9,5000000
00814,,Giải Ba,OOOO,,,99,500000
00814,,Giải Tư,OOO|O,,,148,100000
00814,,Giải Năm,OOO,,,2271,30000
00814,,Giải Khuyến Khích,OO|O/O|O/O,,,11542,10000
00813,,Giải Độc Đắc,OOOOO|O,,,0,6947972500
00813,,Giải Nhất,OOOOO,,,0,10000000
00813,,Giải Nhì,OOOO|O,,,2,5000000
00813,,Giải Ba,OOOO,,,60,500000
00813,,Giải Tư,OOO|O,,,96,100000
00813,,Giải Năm,OOO,,,1884,30000
00813,,Giải Khuyến Khích,OO|O/O|O/O,,,8963,10000
00812,,Giải Độc Đắc,OOOOO|O,,,0,6755015000
00812,,Giải Nhất,OOOOO,,,0,10000000
00812,,Giải Nhì,OOOO|O,,,11,5000000
00812,,Giải Ba,OOOO,,,72,500000
00812,,Giải Tư,OOO|O,,,287,100000
00812,,Giải Năm,OOO,,,2441,30000
00812,,Giải Khuyến Khích,OO|O/O|O/O,,,22003,10000
00811,,Giải Độc Đắc,OOOOO|O,,,0,6648422500
00811,,Giải Nhất,OOOOO,,,0,10000000
00811,,Giải Nhì,OOOO|O,,,4,5000000
00811,,Giải Ba,OOOO,,,54,500000
00811,,Giải Tư,OOO|O,,,192,100000
00811,,Giải Năm,OOO,,,1763,30000
00811,,Giải Khuyến Khích,OO|O/O|O/O,,,12665,10000
00810,,Giải Độc Đắc,OOOOO|O,,,0,6524662500
00810,,Giải Nhất,OOOOO,,,0,10000000
00810,,Giải Nhì,OOOO|O,,,11,5000000
00810,,Giải Ba,OOOO,,,71,500000
00810,,Giải Tư,OOO|O,,,241,100000
00810,,Giải Năm,OOO,,,2383,30000
00810,,Giải Khuyến Khích,OO|O/O|O/O,,,17208,10000
00809,,Giải Độc Đắc,OOOOO|O,,,0,6363020000
00809,,Giải Nhất,OOOOO,,,0,10000000
00809,,Giải Nhì,OOOO|O,,,6,5000000
00809,,Giải Ba,OOOO,,,59,500000
00809,,Giải Tư,OOO|O,,,163,100000
00809,,Giải Năm,OOO,,,1620,30000
00809,,Giải Khuyến Khích,OO|O/O|O/O,,,12353,10000
00808,,Giải Độc Đắc,OOOOO|O,,,0,6229157500
00808,,Giải Nhất,OOOOO,,,0,10000000
00808,,Giải Nhì,OOOO|O,,,14,5000000
00808,,Giải Ba,OOOO,,,95,500000
00808,,Giải Tư,OOO|O,,,289,100000
00808,,Giải Năm,OOO,,,2917,30000
00808,,Giải Khuyến Khích,OO|O/O|O/O,,,20235,10000
00807,,Giải Độc Đắc,OOOOO|O,,,0,6126140000
00807,,Giải Nhất,OOOOO,,,0,10000000
00807,,Giải Nhì,OOOO|O,,,14,5000000
00807,,Giải Ba,OOOO,,,81,500000
00807,,Giải Tư,OOO|O,,,330,100000
00807,,Giải Năm,OOO,,,2710,30000
00807,,Giải Khuyến Khích,OO|O/O|O/O,,,22495,10000
00806,,Giải Độc Đắc,OOOOO|O,,,0,24994046000
00806,,Giải Nhất,OOOOO,,,8,1055793250
00806,,Giải Nhì,OOOO|O,,,151,32585000
00806,,Giải Ba,OOOO,,,1266,3790000
00806,,Giải Tư,OOO|O,,,4057,1125000
00806,,Giải Năm,OOO,,,34490,150000
00806,,Giải Khuyến Khích,OO|O/O|O/O,,,281290,10000
00805,,Giải Độc Đắc,OOOOO|O,,,0,14537041000
00805,,Giải Nhất,OOOOO,,,0,10000000
00805,,Giải Nhì,OOOO|O,,,38,5000000
00805,,Giải Ba,OOOO,,,205,500000
00805,,Giải Tư,OOO|O,,,755,100000
00805,,Giải Năm,OOO,,,5913,30000
00805,,Giải Khuyến Khích,OO|O/O|O/O,,,48879,10000
00804,,Giải Độc Đắc,OOOOO|O,,,0,12775362000
00804,,Giải Nhất,OOOOO,,,2,10000000
00804,,Giải Nhì,OOOO|O,,,10,5000000
00804,,Giải Ba,OOOO,,,219,500000
00804,,Giải Tư,OOO|O,,,516,100000
00804,,Giải Năm,OOO,,,5528,30000
00804,,Giải Khuyến Khích,OO|O/O|O/O,,,33160,10000
00803,,Giải Độc Đắc,OOOOO|O,,,0,11225384000
00803,,Giải Nhất,OOOOO,,,1,10000000
00803,,Giải Nhì,OOOO|O,,,13,5000000
00803,,Giải Ba,OOOO,,,120,500000
00803,,Giải Tư,OOO|O,,,268,100000
00803,,Giải Năm,OOO,,,3120,30000
00803,,Giải Khuyến Khích,OO|O/O|O/O,,,20150,10000
00802,,Giải Độc Đắc,OOOOO|O,,,0,10332639000
00802,,Giải Nhất,OOOOO,,,0,10000000
00802,,Giải Nhì,OOOO|O,,,5,5000000
00802,,Giải Ba,OOOO,,,124,500000
00802,,Giải Tư,OOO|O,,,330,100000
00802,,Giải Năm,OOO,,,3874,30000
00802,,Giải Khuyến Khích,OO|O/O|O/O,,,24653,10000
00801,,Giải Độc Đắc,OOOOO|O,,,0,8999212000
00801,,Giải Nhất,OOOOO,,,0,10000000
00801,,Giải Nhì,OOOO|O,,,8,5000000
00801,,Giải Ba,OOOO,,,110,500000
00801,,Giải Tư,OOO|O,,,225,100000
00801,,Giải Năm,OOO,,,2855,30000
00801,,Giải Khuyến Khích,OO|O/O|O/O,,,16397,10000
00800,,Giải Độc Đắc,OOOOO|O,,,0,8798150000
00800,,Giải Nhất,OOOOO,,,1,10000000
00800,,Giải Nhì,OOOO|O,,,13,5000000
00800,,Giải Ba,OOOO,,,135,500000
00800,,Giải Tư,OOO|O,,,266,100000
00800,,Giải Năm,OOO,,,3627,30000
00800,,Giải Khuyến Khích,OO|O/O|O/O,,,17494,10000
00799,,Giải Độc Đắc,OOOOO|O,,,0,8613972500
00799,,Giải Nhất,OOOOO,,,0,10000000
00799,,Giải Nhì,OOOO|O,,,7,5000000
00799,,Giải Ba,OOOO,,,76,500000
00799,,Giải Tư,OOO|O,,,209,100000
00799,,Giải Năm,OOO,,,2071,30000
00799,,Giải Khuyến Khích,OO|O/O|O/O,,,18247,10000
00798,,Giải Độc Đắc,OOOOO|O,,,0,8513092500
00798,,Giải Nhất,OOOOO,,,0,10000000
00798,,Giải Nhì,OOOO|O,,,14,5000000
00798,,Giải Ba,OOOO,,,140,500000
00798,,Giải Tư,OOO|O,,,298,100000
00798,,Giải Năm,OOO,,,3513,30000
00798,,Giải Khuyến Khích,OO|O/O|O/O,,,18804,10000
00797,,Giải Độc Đắc,OOOOO|O,,,0,8374067500
00797,,Giải Nhất,OOOOO,,,1,10000000
00797,,Giải Nhì,OOOO|O,,,3,5000000
00797,,Giải Ba,OOOO,,,88,500000
00797,,Giải Tư,OOO|O,,,209,100000
00797,,Giải Năm,OOO,,,2301,30000
00797,,Giải Khuyến Khích,OO|O/O|O/O,,,13930,10000
00796,,Giải Độc Đắc,OOOOO|O,,,0,8228402500
00796,,Giải Nhất,OOOOO,,,0,10000000
00796,,Giải Nhì,OOOO|O,,,12,5000000
00796,,Giải Ba,OOOO,,,94,500000
00796,,Giải Tư,OOO|O,,,332,100000
00796,,Giải Năm,OOO,,,2757,30000
00796,,Giải Khuyến Khích,OO|O/O|O/O,,,26044,10000
00795,,Giải Độc Đắc,OOOOO|O,,,0,8093717500
00795,,Giải Nhất,OOOOO,,,0,10000000
00795,,Giải Nhì,OOOO|O,,,8,5000000
00795,,Giải Ba,OOOO,,,57,500000
00795,,Giải Tư,OOO|O,,,154,100000
00795,,Giải Năm,OOO,,,2080,30000
00795,,Giải Khuyến Khích,OO|O/O|O/O,,,11094,10000
00794,,Giải Độc Đắc,OOOOO|O,,,0,7925682500
00794,,Giải Nhất,OOOOO,,,1,10000000
00794,,Giải Nhì,OOOO|O,,,13,5000000
00794,,Giải Ba,OOOO,,,163,500000
00794,,Giải Tư,OOO|O,,,281,100000
00794,,Giải Năm,OOO,,,3522,30000
00794,,Giải Khuyến Khích,OO|O/O|O/O,,,15841,10000
00793,,Giải Độc Đắc,OOOOO|O,,,0,7787345000
00793,,Giải Nhất,OOOOO,,,0,10000000
00793,,Giải Nhì,OOOO|O,,,11,5000000
00793,,Giải Ba,OOOO,,,52,500000
00793,,Giải Tư,OOO|O,,,180,100000
00793,,Giải Năm,OOO,,,1902,30000
00793,,Giải Khuyến Khích,OO|O/O|O/O,,,11730,10000
00792,,Giải Độc Đắc,OOOOO|O,,,0,7654652500
00792,,Giải Nhất,OOOOO,,,1,10000000
00792,,Giải Nhì,OOOO|O,,,2,5000000
00792,,Giải Ba,OOOO,,,102,500000
00792,,Giải Tư,OOO|O,,,241,100000
00792,,Giải Năm,OOO,,,2534,30000
00792,,Giải Khuyến Khích,OO|O/O|O/O,,,20824,10000
00791,,Giải Độc Đắc,OOOOO|O,,,0,7452830000
00791,,Giải Nhất,OOOOO,,,1,10000000
00791,,Giải Nhì,OOOO|O,,,9,5000000
00791,,Giải Ba,OOOO,,,62,500000
00791,,Giải Tư,OOO|O,,,240,100000
00791,,Giải Năm,OOO,,,2262,30000
00791,,Giải Khuyến Khích,OO|O/O|O/O,,,15907,10000
00790,,Giải Độc Đắc,OOOOO|O,,,0,7377467500
00790,,Giải Nhất,OOOOO,,,3,10000000
00790,,Giải Nhì,OOOO|O,,,12,5000000
00790,,Giải Ba,OOOO,,,152,500000
00790,,Giải Tư,OOO|O,,,333,100000
00790,,Giải Năm,OOO,,,3264,30000
00790,,Giải Khuyến Khích,OO|O/O|O/O,,,19059,10000
00789,,Giải Độc Đắc,OOOOO|O,,,0,7273267500
