draw_id,play,tier,pattern,numbers,note,winners,value
00759,d6,Giải tư,,218 463 180 340 498 482 668 842 184 284 328 437 625 224 316 089 339 606 287 262,Trùng 2 bộ ba số bất kỳ trong 20 bộ ba số,53,1000000
00759,d6,Giải năm,,218 463,Trùng 1 bộ ba số bất kỳ trong 2 bộ ba số,698,100000
00759,d6,Giải sáu,,180 340 498 482 668 842 184 284 328 437 625 224 316 089 339 606 287 262,Trùng 1 bộ ba số bất kỳ trong 18 bộ ba số,5623,40000
00758,d6,Giải Đặc biệt,,153 238,,0,2000000000
00758,d6,Giải phụ Đặc biệt,,238 153,,0,400000000
00758,d6,Giải Nhất,,492 155 046 838,Trùng 2 bộ ba số bất kỳ trong 4 bộ ba số,0,30000000
00758,d6,Giải Nhì,,147 016 604 027 080 674,Trùng 2 bộ ba số bất kỳ trong 6 bộ ba số,4,10000000
00758,d6,Giải Ba,,578 035 812 301 856 841 932 362,Trùng 2 bộ ba số bất kỳ trong 8 bộ ba số,12,4000000
00758,d6,Giải tư,,153 238 492 155 046 838 147 016 604 027 080 674 578 035 812 301 856 841 932 362,Trùng 2 bộ ba số bất kỳ trong 20 bộ ba số,55,1000000
00758,d6,Giải năm,,153 238,Trùng 1 bộ ba số bất kỳ trong 2 bộ ba số,656,100000
00758,d6,Giải sáu,,492 155 046 838 147 016 604 027 080 674 578 035 812 301 856 841 932 362,Trùng 1 bộ ba số bất kỳ trong 18 bộ ba số,5401,40000
00757,d6,Giải Đặc biệt,,461 587,,1,2000000000
00757,d6,Giải phụ Đặc biệt,,587 461,,0,400000000
00757,d6,Giải Nhất,,617 677 281 974,Trùng 2 bộ ba số bất kỳ trong 4 bộ ba số,2,30000000
00757,d6,Giải Nhì,,711 207 788 306 534 229,Trùng 2 bộ ba số bất kỳ trong 6 bộ ba số,7,10000000
00757,d6,Giải Ba,,825 161 939 035 217 890 199 294,Trùng 2 bộ ba số bất kỳ trong 8 bộ ba số,8,4000000
00757,d6,Giải tư,,461 587 617 677 281 974 711 207 788 306 534 229 825 161 939 035 217 890 199 294,Trùng 2 bộ ba số bất kỳ trong 20 bộ ba số,49,1000000
00757,d6,Giải năm,,461 587,Trùng 1 bộ ba số bất kỳ trong 2 bộ ba số,725,100000
00757,d6,Giải sáu,,617 677 281 974 711 207 788 306 534 229 825 161 939 035 217 890 199 294,Trùng 1 bộ ba số bất kỳ trong 18 bộ ba số,5694,40000
00756,d6,Giải Đặc biệt,,097 939,,0,2000000000
00756,d6,Giải phụ Đặc biệt,,939 097,,0,400000000
00756,d6,Giải Nhất,,524 948 741 401,Trùng 2 bộ ba số bất kỳ trong 4 bộ ba số,1,30000000
00756,d6,Giải Nhì,,962 572 922 862 903 088,Trùng 2 bộ ba số bất kỳ trong 6 bộ ba số,2,10000000
00756,d6,Giải Ba,,658 317 102 787 978 070 495 121,Trùng 2 bộ ba số bất kỳ trong 8 bộ ba số,18,4000000
00756,d6,Giải tư,,097 939 524 948 741 401 962 572 922 862 903 088 658 317 102 787 978 070 495 121,Trùng 2 bộ ba số bất kỳ trong 20 bộ ba số,68,1000000
00756,d6,Giải năm,,097 939,Trùng 1 bộ ba số bất kỳ trong 2 bộ ba số,682,100000
00756,d6,Giải sáu,,524 948 741 401 962 572 922 862 903 088 658 317 102 787 978 070 495 121,Trùng 1 bộ ba số bất kỳ trong 18 bộ ba số,5737,40000
00755,d6,Giải Đặc biệt,,398 723,,0,2000000000
00755,d6,Giải phụ Đặc biệt,,723 398,,0,400000000
00755,d6,Giải Nhất,,704 848 486 961,Trùng 2 bộ ba số bất kỳ trong 4 bộ ba số,1,30000000
00755,d6,Giải Nhì,,979 324 952 443 353 719,Trùng 2 bộ ba số bất kỳ trong 6 bộ ba số,7,10000000
00755,d6,Giải Ba,,879 300 213 274 664 424 703 497,Trùng 2 bộ ba số bất kỳ trong 8 bộ ba số,25,4000000
00755,d6,Giải tư,,398 723 704 848 486 961 979 324 952 443 353 719 879 300 213 274 664 424 703 497,Trùng 2 bộ ba số bất kỳ trong 20 bộ ba số,64,1000000
00755,d6,Giải năm,,398 723,Trùng 1 bộ ba số bất kỳ trong 2 bộ ba số,691,100000
00755,d6,Giải sáu,,704 848 486 961 979 324 952 443 353 719 879 300 213 274 664 424 703 497,Trùng 1 bộ ba số bất kỳ trong 18 bộ ba số,6212,40000
00754,d6,Giải Đặc biệt,,356 163,,0,2000000000
00754,d6,Giải phụ Đặc biệt,,163 356,,1,400000000
00754,d6,Giải Nhất,,749 183 620 039,Trùng 2 bộ ba số bất kỳ trong 4 bộ ba số,0,30000000
00754,d6,Giải Nhì,,630 110 364 206 411 853,Trùng 2 bộ ba số bất kỳ trong 6 bộ ba số,1,10000000
00754,d6,Giải Ba,,334 238 603 621 240 117 672 736,Trùng 2 bộ ba số bất kỳ trong 8 bộ ba số,5,4000000
00754,d6,Giải tư,,356 163 749 183 620 039 630 110 364 206 411 853 334 238 603 621 240 117 672 736,Trùng 2 bộ ba số bất kỳ trong 20 bộ ba số,60,1000000
00754,d6,Giải năm,,356 163,Trùng 1 bộ ba số bất kỳ trong 2 bộ ba số,768,100000
00754,d6,Giải sáu,,749 183 620 039 630 110 364 206 411 853 334 238 603 621 240 117 672 736,Trùng 1 bộ ba số bất kỳ trong 18 bộ ba số,6130,40000
00753,d6,Giải Đặc biệt,,982 396,,0,2000000000
00753,d6,Giải phụ Đặc biệt,,396 982,,0,400000000
00753,d6,Giải Nhất,,706 588 626 655,Trùng 2 bộ ba số bất kỳ trong 4 bộ ba số,1,30000000
00753,d6,Giải Nhì,,312 031 674 860 431 640,Trùng 2 bộ ba số bất kỳ trong 6 bộ ba số,7,10000000
00753,d6,Giải Ba,,431 292 369 833 835 166 366 125,Trùng 2 bộ ba số bất kỳ trong 8 bộ ba số,14,4000000
00753,d6,Giải tư,,982 396 706 588 626 655 312 031 674 860 431 640 431 292 369 833 835 166 366 125,Trùng 2 bộ ba số bất kỳ trong 20 bộ ba số,65,1000000
00753,d6,Giải năm,,982 396,Trùng 1 bộ ba số bất kỳ trong 2 bộ ba số,572,100000
00753,d6,Giải sáu,,706 588 626 655 312 031 674 860 431 640 431 292 369 833 835 166 366 125,Trùng 1 bộ ba số bất kỳ trong 18 bộ ba số,5947,40000
00752,d6,Giải Đặc biệt,,370 261,,0,2000000000
00752,d6,Giải phụ Đặc biệt,,261 370,,0,400000000
00752,d6,Giải Nhất,,696 940 119 137,Trùng 2 bộ ba số bất kỳ trong 4 bộ ba số,2,30000000
00752,d6,Giải Nhì,,412 380 919 439 851 934,Trùng 2 bộ ba số bất kỳ trong 6 bộ ba số,10,10000000
00752,d6,Giải Ba,,722 655 240 305 597 549 753 511,Trùng 2 bộ ba số bất kỳ trong 8 bộ ba số,4,4000000
00752,d6,Giải tư,,370 261 696 940 119 137 412 380 919 439 851 934 722 655 240 305 597 549 753 511,Trùng 2 bộ ba số bất kỳ trong 20 bộ ba số,65,1000000
00752,d6,Giải năm,,370 261,Trùng 1 bộ ba số bất kỳ trong 2 bộ ba số,738,100000
00752,d6,Giải sáu,,696 940 119 137 412 380 919 439 851 934 722 655 240 305 597 549 753 511,Trùng 1 bộ ba số bất kỳ trong 18 bộ ba số,6255,40000
00751,d6,Giải Đặc biệt,,035 737,,0,2000000000
00751,d6,Giải phụ Đặc biệt,,737 035,,0,400000000
00751,d6,Giải Nhất,,007 541 637 046,Trùng 2 bộ ba số bất kỳ trong 4 bộ ba số,4,30000000
00751,d6,Giải Nhì,,748 727 946 754 719 627,Trùng 2 bộ ba số bất kỳ trong 6 bộ ba số,5,10000000
00751,d6,Giải Ba,,335 417 444 286 714 992 886 805,Trùng 2 bộ ba số bất kỳ trong 8 bộ ba số,18,4000000
00751,d6,Giải tư,,035 737 007 541 637 046 748 727 946 754 719 627 335 417 444 286 714 992 886 805,Trùng 2 bộ ba số bất kỳ trong 20 bộ ba số,66,1000000
00751,d6,Giải năm,,035 737,Trùng 1 bộ ba số bất kỳ trong 2 bộ ba số,725,100000
00751,d6,Giải sáu,,007 541 637 046 748 727 946 754 719 627 335 417 444 286 714 992 886 805,Trùng 1 bộ ba số bất kỳ trong 18 bộ ba số,6123,40000
00750,d6,Giải Đặc biệt,,908 789,,1,2000000000
00750,d6,Giải phụ Đặc biệt,,789 908,,1,400000000
00750,d6,Giải Nhất,,494 340 898 288,Trùng 2 bộ ba số bất kỳ trong 4 bộ ba số,1,30000000
00750,d6,Giải Nhì,,064 952 169 259 023 547,Trùng 2 bộ ba số bất kỳ trong 6 bộ ba số,21,10000000
00750,d6,Giải Ba,,331 354 956 810 212 898 414 875,Trùng 2 bộ ba số bất kỳ trong 8 bộ ba số,5,4000000
00750,d6,Giải tư,,908 789 494 340 898 288 064 952 169 259 023 547 331 354 956 810 212 898 414 875,Trùng 2 bộ ba số bất kỳ trong 20 bộ ba số,52,1000000
00750,d6,Giải năm,,908 789,Trùng 1 bộ ba số bất kỳ trong 2 bộ ba số,749,100000
00750,d6,Giải sáu,,494 340 898 288 064 952 169 259 023 547 331 354 956 810 212 898 414 875,Trùng 1 bộ ba số bất kỳ trong 18 bộ ba số,6159,40000
00749,d6,Giải Đặc biệt,,986 021,,2,2000000000
00749,d6,Giải phụ Đặc biệt,,021 986,,0,400000000
00749,d6,Giải Nhất,,460 603 588 337,Trùng 2 bộ ba số bất kỳ trong 4 bộ ba số,0,30000000
00749,d6,Giải Nhì,,228 538 497 916 181 323,Trùng 2 bộ ba số bất kỳ trong 6 bộ ba số,8,10000000
00749,d6,Giải Ba,,907 104 411 165 492 151 011 179,Trùng 2 bộ ba số bất kỳ trong 8 bộ ba số,13,4000000
00749,d6,Giải tư,,986 021 460 603 588 337 228 538 497 916 181 323 907 104 411 165 492 151 011 179,Trùng 2 bộ ba số bất kỳ trong 20 bộ ba số,96,1000000
00749,d6,Giải năm,,986 021,Trùng 1 bộ ba số bất kỳ trong 2 bộ ba số,973,100000
00749,d6,Giải sáu,,460 603 588 337 228 538 497 916 181 323 907 104 411 165 492 151 011 179,Trùng 1 bộ ba số bất kỳ trong 18 bộ ba số,6436,40000
00748,d6,Giải Đặc biệt,,711 017,,3,2000000000
00748,d6,Giải phụ Đặc biệt,,017 711,,0,400000000
00748,d6,Giải Nhất,,567 596 042 398,Trùng 2 bộ ba số bất kỳ trong 4 bộ ba số,3,30000000
00748,d6,Giải Nhì,,313 361 635 104 060 678,Trùng 2 bộ ba số bất kỳ trong 6 bộ ba số,3,10000000
00748,d6,Giải Ba,,943 735 882 534 616 950 787 742,Trùng 2 bộ ba số bất kỳ trong 8 bộ ba số,12,4000000
00748,d6,Giải tư,,711 017 567 596 042 398 313 361 635 104 060 678 943 735 882 534 616 950 787 742,Trùng 2 bộ ba số bất kỳ trong 20 bộ ba số,60,1000000
00748,d6,Giải năm,,711 017,Trùng 1 bộ ba số bất kỳ trong 2 bộ ba số,635,100000
00748,d6,Giải sáu,,567 596 042 398 313 361 635 104 060 678 943 735 882 534 616 950 787 742,Trùng 1 bộ ba số bất kỳ trong 18 bộ ba số,5509,40000
00747,d6,Giải Đặc biệt,,830 824,,0,2000000000
00747,d6,Giải phụ Đặc biệt,,824 830,,0,400000000
00747,d6,Giải Nhất,,504 293 833 270,Trùng 2 bộ ba số bất kỳ trong 4 bộ ba số,2,30000000
00747,d6,Giải Nhì,,491 665 796 133 598 347,Trùng 2 bộ ba số bất kỳ trong 6 bộ ba số,2,10000000
00747,d6,Giải Ba,,485 756 818 338 156 952 569 543,Trùng 2 bộ ba số bất kỳ trong 8 bộ ba số,6,4000000
00747,d6,Giải tư,,830 824 504 293 833 270 491 665 796 133 598 347 485 756 818 338 156 952 569 543,Trùng 2 bộ ba số bất kỳ trong 20 bộ ba số,68,1000000
00747,d6,Giải năm,,830 824,Trùng 1 bộ ba số bất kỳ trong 2 bộ ba số,450,100000
00747,d6,Giải sáu,,504 293 833 270 491 665 796 133 598 347 485 756 818 338 156 952 569 543,Trùng 1 bộ ba số bất kỳ trong 18 bộ ba số,5895,40000
00746,d6,Giải Đặc biệt,,003 737,,0,2000000000
00746,d6,Giải phụ Đặc biệt,,737 003,,0,400000000
00746,d6,Giải Nhất,,609 886 534 656,Trùng 2 bộ ba số bất kỳ trong 4 bộ ba số,5,30000000
00746,d6,Giải Nhì,,179 489 148 129 116 731,Trùng 2 bộ ba số bất kỳ trong 6 bộ ba số,3,10000000
00746,d6,Giải Ba,,553 196 304 911 330 814 737 340,Trùng 2 bộ ba số bất kỳ trong 8 bộ ba số,5,4000000
00746,d6,Giải tư,,003 737 609 886 534 656 179 489 148 129 116 731 553 196 304 911 330 814 737 340,Trùng 2 bộ ba số bất kỳ trong 20 bộ ba số,48,1000000
00746,d6,Giải năm,,003 737,Trùng 1 bộ ba số bất kỳ trong 2 bộ ba số,385,100000
00746,d6,Giải sáu,,609 886 534 656 179 489 148 129 116 731 553 196 304 911 330 814 737 340,Trùng 1 bộ ba số bất kỳ trong 18 bộ ba số,5583,40000
00745,d6,Giải Đặc biệt,,730 793,,0,2000000000
00745,d6,Giải phụ Đặc biệt,,793 730,,0,400000000
00745,d6,Giải Nhất,,532 189 723 922,Trùng 2 bộ ba số bất kỳ trong 4 bộ ba số,2,30000000
00745,d6,Giải Nhì,,787 416 466 792 323 306,Trùng 2 bộ ba số bất kỳ trong 6 bộ ba số,4,10000000
00745,d6,Giải Ba,,090 700 375 141 694 612 402 956,Trùng 2 bộ ba số bất kỳ trong 8 bộ ba số,7,4000000
00745,d6,Giải tư,,730 793 532 189 723 922 787 416 466 792 323 306 090 700 375 141 694 612 402 956,Trùng 2 bộ ba số bất kỳ trong 20 bộ ba số,57,1000000
00745,d6,Giải năm,,730 793,Trùng 1 bộ ba số bất kỳ trong 2 bộ ba số,525,100000
00745,d6,Giải sáu,,532 189 723 922 787 416 466 792 323 306 090 700 375 141 694 612 402 956,Trùng 1 bộ ba số bất kỳ trong 18 bộ ba số,5282,40000
00744,d6,Giải Đặc biệt,,894 697,,0,2000000000
00744,d6,Giải phụ Đặc biệt,,697 894,,0,400000000
00744,d6,Giải Nhất,,470 727 598 809,Trùng 2 bộ ba số bất kỳ trong 4 bộ ba số,0,30000000
00744,d6,Giải Nhì,,857 187 045 994 353 466,Trùng 2 bộ ba số bất kỳ trong 6 bộ ba số,3,10000000
00744,d6,Giải Ba,,964 933 171 729 617 762 633 947,Trùng 2 bộ ba số bất kỳ trong 8 bộ ba số,16,4000000
00744,d6,Giải tư,,894 697 470 727 598 809 857 187 045 994 353 466 964 933 171 729 617 762 633 947,Trùng 2 bộ ba số bất kỳ trong 20 bộ ba số,41,1000000
00744,d6,Giải năm,,894 697,Trùng 1 bộ ba số bất kỳ trong 2 bộ ba số,445,100000
00744,d6,Giải sáu,,470 727 598 809 857 187 045 994 353 466 964 933 171 729 617 762 633 947,Trùng 1 bộ ba số bất kỳ trong 18 bộ ba số,4793,40000
00743,d6,Giải Đặc biệt,,827 356,,0,2000000000
00743,d6,Giải phụ Đặc biệt,,356 827,,0,400000000
00743,d6,Giải Nhất,,216 007 278 840,Trùng 2 bộ ba số bất kỳ trong 4 bộ ba số,1,30000000
00743,d6,Giải Nhì,,899 294 630 960 430 022,Trùng 2 bộ ba số bất kỳ trong 6 bộ ba số,2,10000000
00743,d6,Giải Ba,,593 427 973 390 241 156 916 288,Trùng 2 bộ ba số bất kỳ trong 8 bộ ba số,28,4000000
00743,d6,Giải tư,,827 356 216 007 278 840 899 294 630 960 430 022 593 427 973 390 241 156 916 288,Trùng 2 bộ ba số bất kỳ trong 20 bộ ba số,71,1000000
00743,d6,Giải năm,,827 356,Trùng 1 bộ ba số bất kỳ trong 2 bộ ba số,731,100000
00743,d6,Giải sáu,,216 007 278 840 899 294 630 960 430 022 593 427 973 390 241 156 916 288,Trùng 1 bộ ba số bất kỳ trong 18 bộ ba số,5020,40000
00742,d6,Giải Đặc biệt,,705 285,,0,2000000000
00742,d6,Giải phụ Đặc biệt,,285 705,,0,400000000
00742,d6,Giải Nhất,,432 043 515 162,Trùng 2 bộ ba số bất kỳ trong 4 bộ ba số,5,30000000
00742,d6,Giải Nhì,,918 400 073 022 044 532,Trùng 2 bộ ba số bất kỳ trong 6 bộ ba số,3,10000000
00742,d6,Giải Ba,,685 413 956 132 722 918 053 660,Trùng 2 bộ ba số bất kỳ trong 8 bộ ba số,6,4000000
00742,d6,Giải tư,,705 285 432 043 515 162 918 400 073 022 044 532 685 413 956 132 722 918 053 660,Trùng 2 bộ ba số bất kỳ trong 20 bộ ba số,63,1000000
00742,d6,Giải năm,,705 285,Trùng 1 bộ ba số bất kỳ trong 2 bộ ba số,616,100000
00742,d6,Giải sáu,,432 043 515 162 918 400 073 022 044 532 685 413 956 132 722 918 053 660,Trùng 1 bộ ba số bất kỳ trong 18 bộ ba số,5062,40000
00741,d6,Giải Đặc biệt,,483 025,,0,2000000000
00741,d6,Giải phụ Đặc biệt,,025 483,,0,400000000
