draw_id,play,tier,pattern,numbers,note,winners,value
01548,,Jackpot,OOOOOO,,,0,18210978000
01548,,Giải Nhất,OOOOO,,,38,10000000
01548,,Giải Nhì,OOOO,,,1166,300000
01548,,Giải Ba,OOO,,,19171,30000
01547,,Jackpot,OOOOOO,,,0,16447584000
01547,,Giải Nhất,OOOOO,,,31,10000000
01547,,Giải Nhì,OOOO,,,1111,300000
01547,,Giải Ba,OOO,,,18479,30000
01546,,Jackpot,OOOOOO,,,0,14788722000
01546,,Giải Nhất,OOOOO,,,28,10000000
01546,,Giải Nhì,OOOO,,,1098,300000
01546,,Giải Ba,OOO,,,17746,30000
01545,,Jackpot,OOOOOO,,,0,13270449500
01545,,Giải Nhất,OOOOO,,,27,10000000
01545,,Giải Nhì,OOOO,,,1186,300000
01545,,Giải Ba,OOO,,,17555,30000
01544,,Jackpot,OOOOOO,,,1,29649534500
01544,,Giải Nhất,OOOOO,,,28,10000000
01544,,Giải Nhì,OOOO,,,1470,300000
01544,,Giải Ba,OOO,,,22884,30000
01543,,Jackpot,OOOOOO,,,0,27535400000
01543,,Giải Nhất,OOOOO,,,34,10000000
01543,,Giải Nhì,OOOO,,,1447,300000
01543,,Giải Ba,OOO,,,22432,30000
01542,,Jackpot,OOOOOO,,,0,25561626500
01542,,Giải Nhất,OOOOO,,,17,10000000
01542,,Giải Nhì,OOOO,,,1249,300000
01542,,Giải Ba,OOO,,,21227,30000
01541,,Jackpot,OOOOOO,,,0,23274160500
01541,,Giải Nhất,OOOOO,,,18,10000000
01541,,Giải Nhì,OOOO,,,1260,300000
01541,,Giải Ba,OOO,,,20478,30000
01540,,Jackpot,OOOOOO,,,0,21022863500
01540,,Giải Nhất,OOOOO,,,15,10000000
01540,,Giải Nhì,OOOO,,,1239,300000
01540,,Giải Ba,OOO,,,20934,30000
01539,,Jackpot,OOOOOO,,,0,18940596000
01539,,Giải Nhất,OOOOO,,,26,10000000
01539,,Giải Nhì,OOOO,,,1212,300000
01539,,Giải Ba,OOO,,,19336,30000
01538,,Jackpot,OOOOOO,,,0,16938370500
01538,,Giải Nhất,OOOOO,,,26,10000000
01538,,Giải Nhì,OOOO,,,1076,300000
01538,,Giải Ba,OOO,,,19341,30000
01537,,Jackpot,OOOOOO,,,0,15135731500
01537,,Giải Nhất,OOOOO,,,22,10000000
01537,,Giải Nhì,OOOO,,,1186,300000
01537,,Giải Ba,OOO,,,18094,30000
01536,,Jackpot,OOOOOO,,,0,13466752000
01536,,Giải Nhất,OOOOO,,,30,10000000
01536,,Giải Nhì,OOOO,,,1166,300000
01536,,Giải Ba,OOO,,,18345,30000
01535,,Jackpot,OOOOOO,,,1,16835595500
01535,,Giải Nhất,OOOOO,,,29,10000000
01535,,Giải Nhì,OOOO,,,1301,300000
01535,,Giải Ba,OOO,,,20527,30000
01534,,Jackpot,OOOOOO,,,0,15125678000
01534,,Giải Nhất,OOOOO,,,29,10000000
01534,,Giải Nhì,OOOO,,,1052,300000
01534,,Giải Ba,OOO,,,17414,30000
01533,,Jackpot,OOOOOO,,,0,13593068000
01533,,Giải Nhất,OOOOO,,,12,10000000
01533,,Giải Nhì,OOOO,,,1035,300000
01533,,Giải Ba,OOO,,,16523,30000
01532,,Jackpot,OOOOOO,,,1,18621098500
01532,,Giải Nhất,OOOOO,,,13,10000000
01532,,Giải Nhì,OOOO,,,1012,300000
01532,,Giải Ba,OOO,,,17610,30000
01531,,Jackpot,OOOOOO,,,0,16588587500
01531,,Giải Nhất,OOOOO,,,19,10000000
01531,,Giải Nhì,OOOO,,,1024,300000
01531,,Giải Ba,OOO,,,17947,30000
01530,,Jackpot,OOOOOO,,,0,14851168500
01530,,Giải Nhất,OOOOO,,,15,10000000
01530,,Giải Nhì,OOOO,,,667,300000
01530,,Giải Ba,OOO,,,12607,30000
01529,,Jackpot,OOOOOO,,,0,13398803500
01529,,Giải Nhất,OOOOO,,,26,10000000
01529,,Giải Nhì,OOOO,,,877,300000
01529,,Giải Ba,OOO,,,14346,30000
01528,,Jackpot,OOOOOO,,,1,23459457000
01528,,Giải Nhất,OOOOO,,,25,10000000
01528,,Giải Nhì,OOOO,,,1334,300000
01528,,Giải Ba,OOO,,,19528,30000
01527,,Jackpot,OOOOOO,,,0,21492650500
01527,,Giải Nhất,OOOOO,,,29,10000000
01527,,Giải Nhì,OOOO,,,1171,300000
01527,,Giải Ba,OOO,,,19512,30000
01526,,Jackpot,OOOOOO,,,0,19610652500
01526,,Giải Nhất,OOOOO,,,26,10000000
01526,,Giải Nhì,OOOO,,,1215,300000
01526,,Giải Ba,OOO,,,20227,30000
01525,,Jackpot,OOOOOO,,,0,17892946500
01525,,Giải Nhất,OOOOO,,,31,10000000
01525,,Giải Nhì,OOOO,,,1393,300000
01525,,Giải Ba,OOO,,,20773,30000
01524,,Jackpot,OOOOOO,,,0,16455362500
01524,,Giải Nhất,OOOOO,,,25,10000000
01524,,Giải Nhì,OOOO,,,1171,300000
01524,,Giải Ba,OOO,,,18429,30000
01523,,Jackpot,OOOOOO,,,0,14868581000
01523,,Giải Nhất,OOOOO,,,26,10000000
